trade_date,cusip,ytm
5/25/22,90131HAY1,4.19
5/26/22,90131HAY1,4.17
5/27/22,90131HAY1,4.18
5/30/22,90131HAY1,4.27
5/31/22,90131HAY1,4.28
6/1/22,90131HAY1,4.38
6/2/22,90131HAY1,4.37
6/3/22,90131HAY1,4.39
6/6/22,90131HAY1,4.5
6/7/22,90131HAY1,4.45
6/8/22,90131HAY1,4.49
6/9/22,90131HAY1,4.53
6/10/22,90131HAY1,4.72
6/13/22,90131HAY1,4.99
6/14/22,90131HAY1,5.11
6/15/22,90131HAY1,4.88
6/16/22,90131HAY1,4.8
6/17/22,90131HAY1,4.85
6/20/22,90131HAY1,4.89
6/21/22,90131HAY1,4.88
6/22/22,90131HAY1,4.79
6/23/22,90131HAY1,4.7
6/24/22,90131HAY1,4.75
6/27/22,90131HAY1,4.82
6/28/22,90131HAY1,4.8
6/29/22,90131HAY1,4.7
6/30/22,90131HAY1,4.6
7/1/22,90131HAY1,4.44
7/4/22,90131HAY1,4.46
7/5/22,90131HAY1,4.38
7/6/22,90131HAY1,4.54
7/7/22,90131HAY1,4.6
7/8/22,90131HAY1,4.68
7/11/22,90131HAY1,4.61
7/12/22,90131HAY1,4.58
7/13/22,90131HAY1,4.59
7/14/22,90131HAY1,4.62
7/15/22,90131HAY1,4.6
7/18/22,90131HAY1,4.66
7/19/22,90131HAY1,4.72
7/20/22,90131HAY1,4.73
7/21/22,90131HAY1,4.55
7/22/22,90131HAY1,4.41
7/25/22,90131HAY1,4.55
7/26/22,90131HAY1,4.56
7/27/22,90131HAY1,4.5
7/28/22,90131HAY1,4.36
7/29/22,90131HAY1,4.34
8/1/22,90131HAY1,4.31
8/2/22,90131HAY1,4.52
8/3/22,90131HAY1,4.49
8/4/22,90131HAY1,4.46
8/5/22,90131HAY1,4.62
8/8/22,90131HAY1,4.57
8/9/22,90131HAY1,4.62
8/10/22,90131HAY1,4.59
8/11/22,90131HAY1,4.62
8/12/22,90131HAY1,4.59
8/15/22,90131HAY1,4.54
8/16/22,90131HAY1,4.59
8/17/22,90131HAY1,4.68
8/18/22,90131HAY1,4.66
8/19/22,90131HAY1,4.73
8/22/22,90131HAY1,4.79
8/23/22,90131HAY1,4.81
8/24/22,90131HAY1,4.87
8/25/22,90131HAY1,4.79
8/26/22,90131HAY1,4.82
8/29/22,90131HAY1,4.89
8/30/22,90131HAY1,4.9
8/31/22,90131HAY1,4.98
9/1/22,90131HAY1,5.03
9/2/22,90131HAY1,4.93
9/5/22,90131HAY1,4.98
9/6/22,90131HAY1,5.08
9/7/22,90131HAY1,4.99
9/8/22,90131HAY1,5.06
9/9/22,90131HAY1,5.07
9/12/22,90131HAY1,5.08
9/13/22,90131HAY1,5.21
9/14/22,90131HAY1,5.23
9/15/22,90131HAY1,5.29
9/16/22,90131HAY1,5.27
9/19/22,90131HAY1,5.32
9/20/22,90131HAY1,5.38
9/21/22,90131HAY1,5.4
9/22/22,90131HAY1,5.56
9/23/22,90131HAY1,5.61
9/26/22,90131HAY1,5.83
9/27/22,90131HAY1,5.82
9/28/22,90131HAY1,5.58
9/29/22,90131HAY1,5.64
9/30/22,90131HAY1,5.72
10/3/22,90131HAY1,5.51
10/4/22,90131HAY1,5.48
10/5/22,90131HAY1,5.59
10/6/22,90131HAY1,5.7
10/7/22,90131HAY1,5.78
10/10/22,90131HAY1,5.81
10/11/22,90131HAY1,5.8
10/12/22,90131HAY1,5.75
10/13/22,90131HAY1,5.84
10/14/22,90131HAY1,5.9
10/17/22,90131HAY1,5.86
10/18/22,90131HAY1,5.85
10/19/22,90131HAY1,5.99
10/21/22,90131HAY1,5.98
10/24/22,90131HAY1,6
10/25/22,90131HAY1,5.94
10/26/22,90131HAY1,5.87
10/27/22,90131HAY1,5.75
10/28/22,90131HAY1,5.86
10/31/22,90131HAY1,5.91
11/1/22,90131HAY1,5.96
11/2/22,90131HAY1,5.99
11/3/22,90131HAY1,6.06
11/4/22,90131HAY1,6.02
11/7/22,90131HAY1,6.08
11/8/22,90131HAY1,5.99
11/9/22,90131HAY1,5.93
11/10/22,90131HAY1,5.68
11/11/22,90131HAY1,5.7
11/14/22,90131HAY1,5.74
11/15/22,90131HAY1,5.64
11/16/22,90131HAY1,5.59
11/17/22,90131HAY1,5.68
11/18/22,90131HAY1,5.75
11/21/22,90131HAY1,5.76
11/22/22,90131HAY1,5.69
11/23/22,90131HAY1,5.62
11/24/22,90131HAY1,5.58
11/25/22,90131HAY1,5.61
11/28/22,90131HAY1,5.61
11/29/22,90131HAY1,5.66
11/30/22,90131HAY1,5.49
12/1/22,90131HAY1,5.4
12/2/22,90131HAY1,5.4
12/5/22,90131HAY1,5.53
12/6/22,90131HAY1,5.49
12/7/22,90131HAY1,5.37
12/8/22,90131HAY1,5.45
12/9/22,90131HAY1,5.51
12/12/22,90131HAY1,5.53
12/13/22,90131HAY1,5.39
12/14/22,90131HAY1,5.36
12/15/22,90131HAY1,5.36
12/16/22,90131HAY1,5.36
12/19/22,90131HAY1,5.46
12/20/22,90131HAY1,5.53
12/21/22,90131HAY1,5.52
12/22/22,90131HAY1,5.55
12/23/22,90131HAY1,5.6
12/27/22,90131HAY1,5.68
12/28/22,90131HAY1,5.71
12/29/22,90131HAY1,5.68
12/30/22,90131HAY1,5.74
1/2/23,90131HAY1,5.71
1/3/23,90131HAY1,5.65
1/4/23,90131HAY1,5.59
1/5/23,90131HAY1,5.66
1/6/23,90131HAY1,5.45
1/9/23,90131HAY1,5.41
1/10/23,90131HAY1,5.46
1/11/23,90131HAY1,5.4
1/12/23,90131HAY1,5.28
1/13/23,90131HAY1,5.34
1/16/23,90131HAY1,5.36
1/17/23,90131HAY1,5.36
1/18/23,90131HAY1,5.18
1/19/23,90131HAY1,5.23
1/20/23,90131HAY1,5.28
1/23/23,90131HAY1,5.34
1/24/23,90131HAY1,5.29
1/25/23,90131HAY1,5.28
1/26/23,90131HAY1,5.32
1/27/23,90131HAY1,5.33
1/30/23,90131HAY1,5.38
1/31/23,90131HAY1,5.34
2/1/23,90131HAY1,5.22
2/2/23,90131HAY1,5.23
2/3/23,90131HAY1,5.39
